Common gene name,No_drug,CHL_1ug/mL,CPR_4ng/mL,MEC_38ng/mL,NIT_2ug/mL,TET_150ng/mL,TMP_80ng/mL,FOX_1.90ug/mL,AMP_3.14ug/mL,PrtoSTOP
aaeA,0.92,0.57,0.64,0.55,0.69,0.58,0.67,0.44,0.52,14.06
aaeB,0.87,0.67,0.66,0.71,0.63,0.66,0.65,0.5,0.47,28.5
aaeR,0.95,0.56,0.6,0.64,0.74,0.72,0.64,0.45,0.49,14.84
aaeX,0.99,0.65,0.74,0.87,0.69,0.71,0.59,0.75,0.86,2.75
aas,0.92,0.51,0.73,0.66,0.68,0.67,0.68,0.5,0.59,32.13
aat,0.97,0.54,0.67,0.6,0.7,0.6,0.66,0.59,0.54,11.19
abgA,0.92,0.53,0.63,0.61,0.66,0.62,0.59,0.38,0.43,16.75
abgB,0.88,0.43,0.26,0.26,0.49,0.5,0.63,0.67,0.27,21.07
abgR,0.84,0.67,0.78,0.88,0.71,0.69,0.66,0.79,0.87,15.11
abgT,0.97,0.66,0.76,0.88,0.72,0.73,0.66,0.97,0.96,17.86
abrB,0.94,0.55,0.66,0.73,0.7,0.62,0.68,0.05,0.46,12.91
aceA,0.87,0.59,0.39,0.43,0.48,0.61,0.67,0.49,0.33,21.31
aceB,0.98,0.7,0.64,0.94,0.67,0.76,0.67,0.78,0.81,24.36
aceE,0.6,0.2,0.55,0.71,0.31,0.34,0.55,0.45,0.56,43.55
aceF,0.59,0.2,0.4,0.58,0.31,0.35,0.53,0.44,0.33,22.96
aceK,0.94,0.67,0.81,0.84,0.66,0.71,0.65,0.67,0.82,27.81
ackA,0.62,0.24,0.52,0.52,0.44,0.5,0.47,0.45,0.59,17.3
acnA,0.57,0.57,0.6,0.26,0.6,0.7,0.65,0.24,0.39,39.6
acnB,0.81,0.51,0.65,0.65,0.63,0.66,0.6,0.27,0.47,35.99
acpT,1.03,0.66,0.69,0.85,0.73,0.75,0.63,0.69,0.64,9.39
acrA,1.01,0.61,0.01,0.03,0.59,0.3,0.29,0,0.07,17.65
acrB,0.9,0.01,0.01,0.03,0.56,0.26,0.39,0.01,0.12,41.7
acrD,0.94,0.54,0.7,0.45,0.68,0.63,0.65,0.33,0.46,43.3
acrE,0.98,0.54,0.69,0.51,0.71,0.6,0.63,0.18,0.23,16.79
acrF,1.01,0.58,0.66,0.7,0.68,0.66,0.64,0.42,0.54,40.92
acrR,0.88,0.38,0.36,0.23,0.64,0.57,0.65,0.13,0.21,11.27
acs,0.93,0.56,0.58,0.52,0.67,0.64,0.62,0.25,0.37,30.86
actP,0.88,0.61,0.67,0.71,0.69,0.65,0.65,0.59,0.76,20.79
ada,0.91,0.57,0.61,0.71,0.73,0.61,0.67,0.47,0.52,16.28
add,0.84,0.53,0.58,0.63,0.62,0.62,0.58,0.67,0.74,13.28
ade,0.94,0.64,0.63,0.76,0.72,0.69,0.59,0.51,0.43,23.66
adhE,0.96,0.63,0.69,0.94,0.77,0.69,0.66,0.63,0.83,37.38
adhP,0.94,0.55,0.72,0.52,0.71,0.66,0.65,0.11,0.48,13.37
adiA,0.96,0.62,0.74,0.8,0.71,0.68,0.64,0.76,0.77,34.61
adiC,0.91,0.61,0.49,0.56,0.66,0.61,0.64,0.36,0.42,17.54
adiY,0.9,0.6,0.57,0.71,0.69,0.67,0.66,0.45,0.57,12.32
aegA,0.89,0.48,0.36,0.45,0.55,0.6,0.57,0.36,0.41,27.21
aer,0.87,0.61,0.72,0.79,0.68,0.62,0.68,0.78,0.75,21.32
aes,0.98,0.55,0.65,0.49,0.7,0.6,0.66,0.41,0.52,16.39
afuB,0.9,0.49,0.56,0.59,0.64,0.62,0.64,0.35,0.28,4.86
afuC,0.99,0.68,0.7,0.67,0.71,0.73,0.67,0.46,0.57,0
agaA,0.88,0.61,0.7,0.8,0.67,0.67,0.63,0,0.83,6.4
agaB,0.98,0.56,0.62,0.68,0.69,0.61,0.67,0.37,0.46,6.09
agaC,0.95,0.6,0.71,0.76,0.67,0.69,0.64,0.55,0.69,11.27
agaD,0.93,0.59,0.54,0.64,0.71,0.61,0.67,0.4,0.34,10.51
agaI,0.94,0.53,0.6,0.52,0.64,0.61,0.63,0.17,0.47,12.27
agaR,0.87,0.58,0.57,0.55,0.66,0.6,0.62,0.3,0.51,10.99
agaS,0.95,0.52,0.54,0.64,0.64,0.65,0.58,0.36,0.49,15.06
agaV,0.97,0.62,0.68,0.77,0.68,0.73,0.62,0.2,0.57,5.44
agaW,1.01,0.65,0.73,0.73,0.69,0.75,0.6,0.58,0.54,3.52
agp,0.92,0.54,0.64,0.51,0.71,0.62,0.62,0.34,0.3,20.66
ahpC,0.97,0.54,0.5,0.54,0.64,0.56,0.54,0.28,0.5,8.39
ahpF,0.93,0.57,0.62,0.59,0.7,0.61,0.63,0.3,0.41,22.42
aidB,0.94,0.65,0.7,0.72,0.66,0.75,0.67,0.38,0.44,24.57
ais,0.92,0.53,0.67,0.55,0.68,0.62,0.64,0.39,0.48,9.11
alaS,0.93,0.48,0.65,0.54,0.64,0.6,0.64,0.17,0.26,37.06
aldA,0.91,0.52,0.69,0.57,0.69,0.61,0.67,0.54,0.62,20.44
aldB,1.02,0.6,0.75,0.7,0.7,0.67,0.65,0.49,0.66,23.93
alkA,0.87,0.58,0.67,0.73,0.66,0.61,0.66,0.57,0.71,13.61
alkB,0.86,0.61,0.77,0.87,0.69,0.64,0.65,0.78,0.84,9.43
allA,0.89,0.48,0.4,0.56,0.65,0.57,0.69,0.31,0.44,6.69
allB,0.96,0.58,0.66,0.55,0.7,0.64,0.65,0.42,0.35,19.17
allC,0.89,0.45,0.42,0.51,0.65,0.53,0.63,0.29,0.3,17.93
allD,0.92,0.51,0.76,1.05,0.7,0.58,0.6,0.39,0.48,14.61
allR,0.94,0.67,0.69,0.6,0.63,0.75,0.72,0.42,0.51,11.88
alpA,0.93,0.49,0.69,0.84,0.69,0.61,0.65,0.54,0.55,3.57
alr,0.99,0.7,0.68,0.82,0.73,0.7,0.64,0.56,0.37,14.98
alsA,0.95,0.52,0.57,0.61,0.65,0.63,0.59,0.53,0.64,22.25
alsB,0.94,0.55,0.62,0.6,0.65,0.68,0.67,0.37,0.55,12.61
alsC,0.96,0.6,0.75,0.75,0.67,0.71,0.66,0.6,0.65,10.89
alsE,0.89,0.59,0.65,0.69,0.62,0.7,0.63,0.4,0.65,9.65
alx,0.86,0.59,0.42,0.34,0.51,0.64,0.45,0.27,0.52,12.72
amiA,0.84,0.58,0.5,0.96,0.59,0.65,0.54,0.49,0.55,11.8
amiB,0.9,0.56,0.52,0.66,0.68,0.64,0.65,0.54,0.68,17.43
amiC,0.98,0.65,0.74,0.79,0.65,0.71,0.66,0.64,0.77,17.75
amn,0.91,0.58,0.76,0.68,0.69,0.67,0.65,0.57,0.64,22.46
ampC,0.96,0.57,0.61,0.58,0.7,0.65,0.61,0.25,0.06,19.37
ampD,0.9,0.52,0.63,0.43,0.58,0.67,0.62,0.65,0.63,7.89
ampE,0.99,0.66,0.76,0.89,0.74,0.72,0.67,0.79,0.82,13.16
ampG,0.97,0.59,0.72,0.47,0.72,0.69,0.68,0,0.05,21.87
ampH,0.96,0.63,0.79,0.87,0.72,0.73,0.66,0.62,0.37,16.93
amtB,0.92,0.58,0.59,0.66,0.66,0.6,0.64,0.25,0.32,15.9
amyA,0.92,0.62,0.75,0.73,0.66,0.7,0.62,0.53,0.64,24.15
ansA,0.95,0.5,0.66,0.65,0.67,0.66,0.65,0.45,0.6,14.07
ansB,0.86,0.58,0.3,0.29,0.44,0.63,0.66,0.37,0.15,13.82
ansP,0.91,0.55,0.8,0.9,0.79,0.74,0.6,0.61,0.88,20.53
apaG,1.01,0.57,0.72,0.76,0.72,0.68,0.66,0.71,0.8,5.81
apaH,0.94,0.64,0.71,0.74,0.71,0.71,0.69,0.89,0.8,13.71
aphA,0.99,0.67,0.74,0.75,0.72,0.75,0.61,0.56,0.59,9.29
appA,0.98,0.56,0.74,0.32,0.69,0.64,0.64,0.25,0.34,19.73
appB,0.88,0.64,0.69,0.89,0.71,0.69,0.6,0.49,0.46,16.91
appC,0.82,0.51,0.57,0.73,0.63,0.63,0.63,0.3,0.33,24.21
appY,0.98,0.62,0.62,0.72,0.7,0.67,0.65,0.41,0.52,12.26
apt,0.88,0.47,0.61,0.7,0.66,0.57,0.6,0.32,0.6,8.25
aqpZ,0.97,0.56,0.6,0.6,0.69,0.59,0.64,0.3,0.29,8.26
araC,0.95,0.56,0.74,0.67,0.72,0.64,0.68,0.67,0.75,13.4
araE,0.93,0.5,0.6,0.52,0.65,0.62,0.66,0.4,0.56,19.47
araF,0.95,0.54,0.53,0.51,0.69,0.65,0.59,0.5,0.35,14.26
araG,1.02,0.59,0.6,0.64,0.74,0.68,0.63,0.5,0.39,21.19
araH,0.84,0.49,0.6,0.5,0.69,0.61,0.6,0,0.48,12.22
araJ,0.83,0.63,0.66,0.76,0.61,0.7,0.66,0.37,0.49,15.35
arcA,0.51,0.27,0.28,0.3,0.46,0.38,0.45,0.06,0.03,10.67
arcB,0.66,0.19,0.43,0.12,0.56,0.39,0.52,0.42,0.28,37.64
argA,0.9,0.48,0.47,0.57,0.66,0.57,0.64,0.25,0.33,19.28
argB,0.98,0.68,0.76,0.91,0.67,0.77,0.65,0.27,0.58,9.83
argC,0.86,0.59,0.61,0.68,0.68,0.66,0.63,0.33,0.32,14.27
argD,0.86,0.61,0.59,0.57,0.54,0.64,0.66,0.31,0.39,15.18
argE,0.95,0.65,0.61,0.72,0.7,0.67,0.66,0.41,0.3,16.09
argF,0.95,0.64,0.64,0.71,0.71,0.65,0.68,0.54,0.46,16.06
argG,0.92,0.67,0.59,0.67,0.54,0.68,0.61,0.55,0.39,21.66
argH,0.99,0.72,0.68,0.82,0.72,0.71,0.62,0.5,0.31,21.43
argI,0.97,0.61,0.73,0.74,0.69,0.7,0.64,0.55,0.68,16.2
argK,0.87,0.62,0.65,0.63,0.69,0.7,0.62,0.42,0.52,14.85
argO,0.73,0.22,0.57,0.37,0.64,0.47,0.55,0.29,0.35,9.34
argP,0.89,0.65,0.73,0.9,0.68,0.67,0.7,0.69,0.75,13.83
argR,0.84,0.61,0.69,0.67,0.6,0.67,0.62,0.31,0.41,6.91
argT,0.97,0.57,0.73,0.83,0.69,0.71,0.64,0.51,0.71,12.19
arnT,0.85,0.64,0.76,0.87,0.71,0.66,0.66,0.74,0.9,27.92
aroA,0.91,0.69,0.78,1.03,0.65,0.73,0.66,0.77,0.87,17.76
aroB,0.83,0.67,0.56,0.29,0.6,0.7,0.59,0.42,0.01,15.4
aroC,0.93,0.62,0.77,1.01,0.64,0.65,0.65,0.62,0.91,14.17
aroD,0.72,0.54,0.32,0.67,0.43,0.57,0.59,0.39,0.16,9.87
aroE,0.89,0.68,0.67,0.71,0.6,0.71,0.66,0.67,0.39,10.86
aroF,0.94,0.59,0.62,0.71,0.71,0.59,0.62,0.34,0.46,15.16
aroG,1.01,0.57,0.65,0.72,0.69,0.63,0.6,0.4,0.3,14.67
aroH,0.94,0.61,0.6,0.81,0.7,0.62,0.64,0.37,0.39,15.45
aroK,0.87,0.66,0.75,0.83,0.64,0.68,0.67,0.22,0.23,8.25
aroL,0.95,0.57,0.46,0.72,0.69,0.65,0.73,0.34,0.77,7.41
aroM,0.95,0.63,0.79,0.86,0.69,0.69,0.66,0.54,0.67,9.31
aroP,0.87,0.57,0.54,0.63,0.66,0.63,0.64,0.49,0.5,18.86
arpA,1.02,0.6,0.71,0.63,0.71,0.67,0.68,0.41,0.57,33.1
arpB,0.95,0.625,0.725,0.75,0.69,0.73,0.64,0.66,0.695,8.11
arsB,0.81,0.59,0.46,0.39,0.6,0.66,0.63,0.41,0.34,15.71
arsC,0.96,0.56,0.66,0.73,0.71,0.66,0.61,0.44,0.6,6.19
arsR,0.97,0.6,0.72,0.63,0.68,0.71,0.61,0.25,0.49,6.18
artI,0.91,0.51,0.65,0.49,0.7,0.62,0.66,0.51,0.41,11.72
artJ,0.9,0.41,0.61,0.78,0.63,0.6,0.61,0.22,0.47,11.37
artM,0.92,0.48,0.46,0.35,0.63,0.57,0.63,0.33,0.17,11.92
artP,0.75,0.49,0.61,0.72,0.6,0.62,0.58,0.25,0.28,10.94
artQ,1,0.57,0.63,0.67,0.73,0.64,0.62,0.4,0.46,10.63
ascB,0.91,0.5,0.6,0.5,0.62,0.6,0.64,0.39,0.4,23.17
ascF,0.95,0.56,0.68,0.52,0.68,0.62,0.67,0.47,0.51,17.73
ascG,0.97,0.61,0.71,0.82,0.71,0.66,0.59,0.71,0.8,14.03
aslA,1,0.67,0.72,0.73,0.69,0.74,0.63,0.57,0.55,24.86
aslB,0.97,0.51,0.59,0.62,0.69,0.59,0.64,0.26,0.33,19.6
asmA,0.9,0.66,0.83,0.92,0.73,0.64,0.67,0.92,0.87,27.56
asnA,0.92,0.64,0.47,0.48,0.56,0.65,0.61,0.39,0.36,15.53
asnB,0.93,0.53,0.68,0.59,0.65,0.58,0.64,0.36,0.3,28.17
asnC,0.94,0.54,0.33,0.7,0.52,0.59,0.66,0.34,0.17,7.08
aspA,0.91,0.65,0.71,0.76,0.65,0.77,0.67,0.57,0.72,20.97
aspC,0.88,0.59,0.66,0.78,0.67,0.68,0.67,0.49,0.87,17.42
asr,0.92,0.54,0.71,0.67,0.7,0.66,0.64,0.1,0.39,4.46
astA,0.92,0.55,0.64,0.6,0.69,0.6,0.66,0.35,0.48,15.34
astB,0.83,0.34,0.44,0.34,0.57,0.43,0.63,0.27,0,18.04
astC,0.93,0.5,0.71,0.52,0.69,0.58,0.64,0.34,0.34,16.56
astD,0.85,0.6,0.7,0.72,0.61,0.71,0.62,0.29,0.45,20.82
astE,0.88,0.57,0.66,0.79,0.71,0.58,0.68,0.32,0.43,14.05
atoA,0.92,0.55,0.71,0.73,0.67,0.66,0.66,0.54,0.68,7.39
atoB,0.91,0.61,0.75,0.52,0.63,0.72,0.39,0.38,0.53,14.49
atoC,0.8,0.52,0.37,0.73,0.72,0.6,0.64,0.29,0.22,19.45
atoD,0.89,0.5,0.68,0.52,0.68,0.6,0.65,0.38,0.37,8.12
atoE,0.94,0.51,0.67,0.59,0.64,0.61,0.64,0.43,0.62,15.32
atoS,0.86,0.64,0.58,0.78,0.58,0.66,0.67,0.72,0.68,26.39
atpA,0.89,0.57,0.6,0.8,0.67,0.68,0.49,0.29,0.36,21.97
atpB,0.42,0.25,0.36,0.23,0.35,0.32,0.31,0.76,0.74,10.72
atpC,0.62,0.43,0.64,0.14,0.01,0.42,0.54,0.93,0.73,6.19
atpD,0.82,0.59,0.73,0.76,0.68,0.62,0.67,0.82,0.75,20.17
atpE,0.57,0.3,0.59,0.31,0.53,0.4,0.61,0.72,0.15,2.15
atpF,0.74,0,0.68,0.4,0,0,0.57,0.71,0.63,7.09
atpG,0.72,0.56,0.62,0.65,0,0.57,0.57,0.84,0.73,13.7
atpH,0.63,0.44,0.25,0.33,0.57,0.42,0.51,0.23,0.11,7.12
atpI,1,0.64,0.7,0.85,0.71,0.72,0.62,0.59,0.41,4.33
avtA,0.99,0.68,0.74,1.01,0.72,0.68,0.65,0.64,0.85,18.53
azoR,0.93,0.64,0.76,0.87,0.73,0.74,0.67,0.63,0.78,8.46
bacA,0.98,0.64,0.76,0.92,0.73,0.76,0.68,1.02,0.95,0
baeR,0.93,0.45,0.49,0.48,0.65,0.61,0.63,0.09,0.37,11.59
baeS,0.85,0.57,0.64,0.7,0.65,0.6,0.65,0.5,0.54,19.25
barA,0.9,0.64,0.68,0.84,0.64,0.63,0.61,0.63,0.73,38.32
basR,0.97,0.66,0.59,0.71,0.75,0.68,0.66,0.58,0.59,10.31
basS,0.91,0.65,0.32,0.41,0.43,0.6,0.66,0.37,0.28,15.91
bax,0.94,0.66,0.61,0.73,0.71,0.61,0.68,0.57,0.36,14.81
bcp,0.91,0.59,0.53,0.75,0.5,0.64,0.59,0.26,0.68,6.99
bcr,0.95,0.6,0.72,0.75,0.68,0.66,0.67,0.19,0.79,13.98
bcsA,0.94,0.65,0.68,0.73,0.71,0.74,0.63,0.64,0.65,40.78
bcsC,0.9,0.63,0.68,0.64,0.71,0.75,0.62,0.54,0.6,56.29
bcsE,0.88,0.69,0.71,0.86,0.69,0.72,0.64,0.55,0.45,22.72
bcsF,0.97,0.56,0.64,0.63,0.68,0.64,0.59,0.48,0.5,2.58
bcsG,0.93,0.53,0.52,0.52,0.65,0.57,0.67,0.36,0.39,24.5
bcsZ,0.92,0.56,0.67,0.49,0.67,0.69,0.62,0.31,0.6,19.35
bdm,0.95,0.56,0.71,0.52,0.71,0.63,0.61,0.4,0.35,3.62
betA,0.95,0.68,0.74,0.87,0.72,0.68,0.66,0.66,0.64,25.35
betB,0.91,0.61,0.65,0.7,0.64,0.65,0.57,0.56,0.52,20.94
betI,0.92,0.7,0.73,0.74,0.71,0.74,0.56,0.68,0.58,8.35
betT,0.87,0.55,0.61,0.75,0.65,0.6,0.64,0.56,0.39,31.44
bfd,0.99,0.55,0.64,0.69,0.61,0.6,0.65,0.45,0.62,3.26
bfr,0.97,0.57,0.63,0.72,0.7,0.65,0.65,0.25,0.54,8.1
bglA,0.95,0.59,0.69,0.55,0.62,0.69,0.61,0.35,0.75,26.1
bglB,0.9,0.45,0.55,0.41,0.65,0.57,0.62,0.32,0.3,22.48
bglF,1.01,0.63,0.71,0.74,0.72,0.73,0.63,0.73,0.78,23.23
bglG,0.87,0.6,0.41,0.59,0.54,0.62,0.54,0.55,0.7,13.79
bglH,0.98,0.58,0.67,0.71,0.72,0.63,0.68,0.42,0.38,28.15
bglJ,0.92,0.63,0.77,0.87,0.69,0.68,0.67,0.83,0.84,10.23
bglX,0.91,0.58,0.66,0.53,0.62,0.7,0.64,0.36,0.49,33.94
bioA,0.9,0.57,0.57,0.71,0.71,0.59,0.68,0.35,0.39,17.9
bioB,0.92,0.52,0.21,0.66,0.6,0.59,0.67,0.34,0,17
bioC,0.95,0.55,0.57,0.58,0.67,0.59,0.67,0.2,0.36,11.88
bioD,0.97,0.61,0.76,0.84,0.65,0.64,0.65,0.53,0.72,10.55
bioF,0.88,0.55,0.62,0.71,0.67,0.58,0.63,0.26,0.42,16.54
bioH,0.91,0.58,0.75,0.92,0.62,0.65,0.66,0.44,0.72,11.54
bipA,0.95,0.51,0.73,0.86,0.72,0.68,0.63,0.6,0.74,23.93
bisC,0.83,0.58,0.47,0.35,0.58,0.65,0.68,0.37,0.27,35.89
blc,0.91,0.59,0.65,0.8,0.7,0.65,0.64,0.57,0.73,8.33
blr,0.93,0.57,0.71,0.87,0.67,0.6,0.63,0.72,0.79,1.86
bolA,0.95,0.49,0.58,0.62,0.65,0.62,0.6,0.16,0.39,4.7
borD,0.93,0.63,0.67,0.87,0.67,0.73,0.64,0.64,0.63,4.69
brnQ,0.88,0.62,0.69,0.84,0.64,0.65,0.65,0.75,0.82,16.39
btuB,0.92,0.55,0.53,0.25,0.58,0.61,0.68,0.19,0.45,33.65
btuC,0.88,0.58,0.65,0.65,0.61,0.69,0.61,0.6,0.72,14.05
btuD,0.92,0.46,0.65,0.63,0.65,0.64,0.63,0.32,0.31,10.98
btuE,0.81,0.56,0.5,0.49,0.67,0.63,0.67,0.5,0.4,8.67
btuF,0.98,0.61,0.53,0.62,0.7,0.66,0.64,0.5,0.57,12.79
btuR,0.91,0.53,0.53,0.51,0.67,0.62,0.64,0.3,0.31,9.12
cadA,0.89,0.53,0.54,0.46,0.67,0.62,0.66,0.46,0.42,33.37
cadB,0.98,0.62,0.64,0.55,0.67,0.69,0.67,0.62,0.52,17
cadC,0.88,0.66,0.78,0.87,0.74,0.68,0.71,0.79,0.89,24.64
caiA,1.01,0.63,0.69,0.97,0.71,0.73,0.55,0.49,0.56,17.59
caiB,0.95,0.56,0.69,0.71,0.71,0.68,0.52,0.65,0.63,19.35
caiC,0.95,0.59,0.59,0.74,0.7,0.59,0.64,0.41,0.43,24.87
caiD,1.02,0.59,0.75,0.49,0.7,0.65,0.65,0.38,0.52,9.99
caiE,0.97,0.64,0.76,0.85,0.7,0.71,0.65,0.72,0.83,7.72
caiF,0.91,0.62,0.63,0.72,0.68,0.72,0.6,0.58,0.61,7.1
caiT,0.99,0.64,0.73,0.7,0.73,0.74,0.66,0.49,0.6,23.8
carA,0.93,0.56,0.64,0.63,0.64,0.67,0.64,0.59,0.65,15.07
carB,0.82,0.57,0.64,0.6,0.68,0.68,0.66,0.28,0.07,45.96
cbl,0.77,0.56,0.79,0.9,0.62,0.7,0.71,0.44,0.62,14.89
cbpA,0.86,0.58,0.57,0.59,0.52,0.64,0.59,0.24,0.13,14.2
cbpM,0.88,0.56,0.6,0.7,0.68,0.58,0.63,0.42,0.43,3.96
cbrA,1.03,0.67,0.7,0.77,0.71,0.73,0.59,0.53,0.47,17.03
cbrC,0.92,0.56,0.54,0.63,0.68,0.66,0.59,0.33,0.41,11.39
cchA,0.82,0.53,0.61,0.75,0.71,0.68,0.59,0.48,0.64,0
cchB,0.88,0.65,0.75,0.75,0.7,0.71,0.64,0.6,0.73,0
ccmA,0.91,0.46,0.57,0.28,0.64,0.56,0.66,0.28,0,9.67
ccmB,0.87,0.64,0.74,0.89,0.71,0.66,0.67,0.74,0.82,8.02
ccmC,0.8,0.57,0.55,0.64,0.65,0.67,0.62,0.28,0.29,11.75
ccmD,0.98,0.64,0.64,0.77,0.7,0.65,0.65,0.63,0.78,2.52
ccmE,0.92,0.54,0.62,0.57,0.69,0.59,0.65,0.43,0.4,7.44
ccmF,0.94,0.54,0.67,0.64,0.68,0.6,0.62,0.4,0.43,27.85
ccmG,0.9,0.52,0.54,0.71,0.65,0.6,0.59,0,0.61,0
ccmH,0.91,0.51,0.69,0.48,0.68,0.6,0.6,0.35,0.47,16.59
cdaR,0.94,0.65,0.74,0.84,0.73,0.74,0.65,0.91,0.73,17.03
cdd,0.9,0.56,0.71,0.48,0.68,0.63,0.65,0.37,0,12.51
cdh,1,0.58,0.77,0.56,0.7,0.67,0.66,0.5,0.72,11.75
cedA,0.87,0.56,0.62,0.6,0.57,0.65,0.54,0.24,0.54,4.09
cfa,0.96,0.57,0.73,0.51,0.69,0.65,0.67,0.27,0.62,18.74
chaA,0.94,0.52,0.13,0.25,0.42,0.61,0.66,0.52,0,13.05
chaB,0.91,0.47,0.52,0.47,0.65,0.6,0.61,0.42,0.28,4.49
chaC,0.87,0.53,0.8,0.9,0.75,0.66,0.67,0.62,0.84,11.13
chbA,0.94,0.62,0.73,0.75,0.67,0.72,0.58,0.54,0.66,5.05
chbB,0.93,0.5,0.63,0.56,0.66,0.59,0.64,0.49,0.51,4.9
chbC,0.95,0.51,0.64,0.5,0.67,0.64,0.59,0.29,0.36,15.96
chbF,0.96,0.55,0.74,0.5,0.66,0.65,0.62,0.41,0.41,20.36
chbG,0.82,0.58,0.64,0.56,0.73,0.7,0.62,0.53,0.71,10.39
chbR,0.82,0.71,0.68,0.62,0.49,0.74,0.64,0.48,0.47,15.05
cheA,0.92,0.58,0.6,0.52,0.68,0.61,0.62,0.4,0.35,27.64
cheB,0.93,0.61,0.59,0.56,0.69,0.63,0.64,0.48,0.48,12.62
cheR,0.98,0.56,0.62,0.86,0.68,0.63,0.55,0.22,0.48,13.57
cheW,0.94,0.69,0.81,0.95,0.71,0.7,0.63,0.7,0.92,6.54
cheY,0.85,0.65,0.46,0.78,0.5,0.62,0.67,0.69,0.67,5.2
cheZ,0.96,0.58,0.69,0.66,0.66,0.65,0.62,0.39,0.5,8.86
chiA,1.03,0.58,0.7,0.73,0.69,0.72,0.63,0.51,0.32,43.2
chpA,0.94,0.61,0.68,0.69,0.66,0.67,0.67,0.71,0.76,0
chpB,0.94,0.55,0.72,0.49,0.68,0.59,0.64,0.42,0.42,4.27
cirA,0.84,0.6,0.68,0.85,0.69,0.65,0.66,0.8,0.84,32.77
citA,0.85,0.53,0.39,0.63,0.65,0.59,0.64,0.4,0.27,0
citB,0.87,0.66,0.64,0.79,0.69,0.73,0.66,0.5,0.43,0
citC,0.9,0.57,0.67,0.81,0.66,0.69,0.64,0.55,0.67,16.7
citD,0.94,0.57,0.72,0.51,0.69,0.65,0.68,0.42,0.51,3.75
citE,0.91,0.49,0.63,0.57,0.66,0.62,0.64,0.29,0.48,11.98
citF,0.94,0.54,0.62,0.6,0.69,0.62,0.64,0.32,0.47,19.9
citG,0.9,0.59,0.71,0.65,0.71,0.63,0.61,0.41,0.5,13.13
citT,0.95,0.56,0.68,0.65,0.66,0.69,0.65,0.23,0.63,20.59
citX,0.93,0.48,0.58,0.37,0.66,0.58,0.66,0.33,0.34,7.61
clcA,0.96,0.63,0.78,0.85,0.73,0.74,0.64,0.77,0.72,17.76
clcB,0.95,0.6,0.75,0.82,0.69,0.69,0.65,0.85,0.82,17.76
cld,1,0.54,0.66,0.68,0.69,0.69,0.61,0.3,0.5,0
clpA,0.83,0.52,0.64,0.82,0.6,0.61,0.59,0.4,0.35,32.23
clpB,0.94,0.42,0.58,0.39,0.66,0.54,0.63,0.25,0.27,38.78
clpP,0.79,0.38,0.71,0.9,0.6,0.49,0.64,0.57,0.74,8.91
clpS,0.81,0.55,0.25,0.34,0.41,0.54,0.42,0.35,0.32,5.25
clpX,0.88,0.61,0.35,0.58,0.34,0.5,0.67,0.76,0.59,20.01
cls,0.88,0.57,0.59,0.69,0.73,0.65,0.64,0.47,0.42,21.22
cmk,0.54,0.34,0.42,0.45,0.31,0.43,0.5,0.3,0.14,8.4
cmr,0.98,0.32,0.63,0.78,0.72,0.67,0.68,0.4,0.48,0
cmtA,0.97,0.55,0.63,0.63,0.7,0.67,0.66,0.5,0.43,16.94
cmtB,0.91,0.58,0.65,0.69,0.68,0.67,0.65,0.84,0.83,7.07
coaA,0.91,0.73,0.71,0.9,0.66,0.73,0.68,0.8,0.91,15.01
coaE,0.87,0.73,0.75,0.83,0.69,0.72,0.67,0.8,0.81,7.85
cobB,0.84,0.42,0.43,0.51,0.63,0.53,0.68,0.15,0.17,11.64
cobC,0.87,0.46,0.51,0.64,0.65,0.58,0.63,0.41,0.37,9.03
cobS,0.89,0.53,0.57,0.58,0.65,0.63,0.62,0.41,0.48,9.37
cobT,0.9,0.53,0.44,0.57,0.55,0.59,0.62,0.22,0.33,12.56
cobU,0.87,0.62,0.68,0.76,0.67,0.66,0.66,0.69,0.75,7.7
codA,0.95,0.64,0.74,0.52,0.69,0.74,0.69,0.81,0.57,18.72
codB,0.89,0.64,0.71,0.89,0.74,0.69,0.67,0.76,0.49,14.69
cof,0.9,0.47,0.18,0.59,0.7,0.57,0.6,0.12,0.14,11.75
copA,0.95,0.59,0.55,0.74,0.71,0.59,0.61,0.39,0.38,32.5
corA,0.91,0.46,0.55,0.41,0.63,0.56,0.63,0.29,0.39,14.43
cpdA,0.95,0.53,0.67,0.68,0.67,0.63,0.64,0.3,0.71,12.96
cpdB,0.84,0.6,0.61,0.28,0.67,0.68,0.64,0.5,0.69,27.71
cpsB,0.84,0.5,0.55,0.63,0.65,0.6,0.62,0.35,0.35,21.88
cpsG,0.89,0.64,0.82,0.85,0.71,0.69,0.66,0.76,0.86,18.36
cpxA,0.8,0.68,0.52,0.9,0.56,0.78,0.56,0.71,0.72,21.14
cpxP,1.01,0.66,0.74,0.77,0.72,0.75,0.65,0.54,0.53,8.1
cpxR,0.88,0.59,0.67,0.92,0.74,0.6,0.57,0.65,0.66,10.13
crcA,1,0.54,0.73,0.65,0.67,0.71,0.65,0.44,0.33,0
crcB,0.91,0.56,0.58,0.71,0.69,0.59,0.63,0.37,0.5,4.79
creA,0.99,0.67,0.76,0.86,0.72,0.72,0.67,0.72,0.67,6.91
creB,0.85,0.54,0.66,0.92,0.65,0.64,0.63,0.39,0.51,10.58
