Common gene name,No_drug,CHL_1ug/mL,CPR_4ng/mL,MEC_38ng/mL,NIT_2ug/mL,TET_150ng/mL,TMP_80ng/mL,FOX_1.90ug/mL,AMP_3.14ug/mL,PrtoSTOP
ypjF,0.88,0.68,0.74,0.89,0.71,0.69,0.65,0.77,0.83,5.13
ypjJ,0.88,0.54,0.6,0.68,0.58,0.63,0.63,0.02,0.74,3.36
ypjL,0.78,0.56,0.53,0.62,0.65,0.61,0.65,0.32,0.49,7.31
ypjM,0.94,0.44,0.56,0.41,0.66,0.58,0.66,0.15,0.32,0
yqaA,0.87,0.61,0.7,0.55,0.61,0.58,0.68,0.33,0.61,6.86
yqaB,0.87,0.57,0.72,0.91,0.7,0.61,0.65,0.67,0.77,7.49
yqaC,1.03,0.66,0.69,0.24,0.75,0.72,0.61,0.3,0,0
yqaD,0.91,0.65,0.7,0.91,0.67,0.64,0.66,0.82,0.81,0
yqaE,0.8,0.52,0.6,0.6,0.64,0.59,0.59,0.44,0.52,2.11
yqcA,0.87,0.55,0.74,0.82,0.69,0.63,0.7,0.73,0.76,7.5
yqcB,0.92,0.53,0.48,0.84,0.65,0.62,0.49,0.41,0.5,0
yqcC,0.88,0.5,0.52,0.62,0.64,0.57,0.65,0.26,0.28,4.9
yqcD,0.83,0.45,0.35,0.28,0.48,0.55,0.67,0.25,0.15,0
yqcE,0.86,0.62,0.68,0.83,0.68,0.64,0.63,0.79,0.83,19.18
yqeA,1,0.59,0.76,0.61,0.72,0.69,0.66,0.56,0.54,12.73
yqeB,0.91,0.62,0.66,0.82,0.7,0.65,0.68,0.73,0.79,19.36
yqeC,0.93,0.53,0.67,0.48,0.66,0.63,0.68,0.17,0.56,10.23
yqeF,0.91,0.59,0.72,0.61,0.69,0.67,0.64,0,0.74,14.63
yqeG,0.94,0.55,0.59,0.54,0.66,0.63,0.67,0.39,0.47,17.53
yqeH,0.82,0.61,0.49,0.42,0.62,0.67,0.6,0.4,0.44,10.87
yqeI,0.86,0.62,0.67,0.89,0.61,0.68,0.63,0.62,0.7,11.81
yqeJ,1.01,0.66,0.71,0.78,0.75,0.73,0.68,0.91,0.89,8.07
yqeK,0.94,0.59,0.72,0.73,0.71,0.66,0.64,0.59,0.75,6.42
yqfA,0.95,0.65,0.63,0.76,0.7,0.66,0.64,0.47,0.67,10.36
yqfB,0.88,0.59,0.72,0.82,0.68,0.62,0.67,0.86,0.78,4.98
yqfE,0.91,0.58,0.55,0.58,0.68,0.66,0.65,0.37,0.37,2.87
yqgA,0.89,0.62,0.72,0.83,0.71,0.63,0.67,0.62,0.72,7.99
yqgB,0.91,0.42,0.47,0.48,0.62,0.56,0.57,0.3,0.23,2.15
yqgC,0.94,0.57,0.53,0.34,0.65,0.5,0.67,0.38,0.25,3.17
yqgE,0.8,0.55,0.63,0.67,0.65,0.63,0.63,0.52,0.59,7.31
